| end of split   2 / 18 | epoch   3 | time:  7.75s | valid loss  3.19 | valid ppl    24.22 | learning rate 20.0000
| end of split   3 / 18 | epoch   3 | time:  8.85s | valid loss  3.12 | valid ppl    22.58 | learning rate 20.0000
| end of split   4 / 18 | epoch   3 | time:  8.32s | valid loss  3.19 | valid ppl    24.38 | learning rate 20.0000
| end of split   5 / 18 | epoch   3 | time: 10.18s | valid loss  3.17 | valid ppl    23.86 | learning rate 20.0000
| end of split   6 / 18 | epoch   3 | time:  9.09s | valid loss  3.07 | valid ppl    21.51 | learning rate 20.0000
| end of split   7 / 18 | epoch   3 | time:  8.34s | valid loss  3.03 | valid ppl    20.71 | learning rate 20.0000
| end of split   8 / 18 | epoch   3 | time: 12.51s | valid loss  3.12 | valid ppl    22.74 | learning rate 20.0000
| end of split   9 / 18 | epoch   3 | time:  9.07s | valid loss  3.07 | valid ppl    21.59 | learning rate 20.0000
| end of split  10 / 18 | epoch   3 | time:  8.15s | valid loss  3.08 | valid ppl    21.69 | learning rate 20.0000
| end of split  11 / 18 | epoch   3 | time:  8.87s | valid loss  3.02 | valid ppl    20.50 | learning rate 20.0000
| end of split  12 / 18 | epoch   3 | time: 11.37s | valid loss  2.86 | valid ppl    17.52 | learning rate 20.0000
| end of split  13 / 18 | epoch   3 | time:  8.84s | valid loss  3.17 | valid ppl    23.74 | learning rate 20.0000
| end of split  14 / 18 | epoch   3 | time: 11.52s | valid loss  3.12 | valid ppl    22.68 | learning rate 20.0000
| end of split  15 / 18 | epoch   3 | time:  9.76s | valid loss  3.10 | valid ppl    22.30 | learning rate 20.0000
| end of split  16 / 18 | epoch   3 | time:  8.64s | valid loss  3.11 | valid ppl    22.39 | learning rate 20.0000
| end of split  17 / 18 | epoch   3 | time:  7.22s | valid loss  3.09 | valid ppl    21.92 | learning rate 20.0000
| end of split  18 / 18 | epoch   3 | time:  7.45s | valid loss  3.06 | valid ppl    21.39 | learning rate 20.0000
| end of split   1 / 18 | epoch   4 | time:  7.19s | valid loss  2.91 | valid ppl    18.41 | learning rate 20.0000
| end of split   2 / 18 | epoch   4 | time:  8.04s | valid loss  2.97 | valid ppl    19.56 | learning rate 20.0000
| end of split   3 / 18 | epoch   4 | time:  7.68s | valid loss  2.90 | valid ppl    18.23 | learning rate 20.0000
| end of split   4 / 18 | epoch   4 | time:  9.26s | valid loss  3.07 | valid ppl    21.44 | learning rate 20.0000
| end of split   5 / 18 | epoch   4 | time: 10.21s | valid loss  3.01 | valid ppl    20.38 | learning rate 20.0000
| end of split   6 / 18 | epoch   4 | time:  8.01s | valid loss  2.79 | valid ppl    16.29 | learning rate 5.0000
| end of split   7 / 18 | epoch   4 | time:  8.23s | valid loss  2.75 | valid ppl    15.57 | learning rate 5.0000
| end of split   8 / 18 | epoch   4 | time:  9.10s | valid loss  2.73 | valid ppl    15.34 | learning rate 5.0000
| end of split   9 / 18 | epoch   4 | time:  8.69s | valid loss  2.72 | valid ppl    15.25 | learning rate 5.0000
| end of split  10 / 18 | epoch   4 | time:  9.01s | valid loss  2.71 | valid ppl    14.98 | learning rate 5.0000
| end of split  11 / 18 | epoch   4 | time:  9.32s | valid loss  2.70 | valid ppl    14.86 | learning rate 5.0000
| end of split  12 / 18 | epoch   4 | time: 11.26s | valid loss  2.69 | valid ppl    14.74 | learning rate 5.0000
| end of split  13 / 18 | epoch   4 | time:  9.18s | valid loss  2.69 | valid ppl    14.73 | learning rate 5.0000
| end of split  14 / 18 | epoch   4 | time:  6.63s | valid loss  2.69 | valid ppl    14.78 | learning rate 5.0000
| end of split  15 / 18 | epoch   4 | time:  8.47s | valid loss  2.68 | valid ppl    14.57 | learning rate 5.0000
| end of split  16 / 18 | epoch   4 | time:  9.70s | valid loss  2.67 | valid ppl    14.47 | learning rate 5.0000
