EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	TRAIN_PRECISION	TRAIN_RECALL	TRAIN_ACCURACY	TRAIN_F-SCORE	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_ACCURACY	DEV_F-SCORE	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_ACCURACY	TEST_F-SCORE
32	08:00:21	1	0.1000	53.90753492668493		_	_	_	_	48.15291213989258	0.607	0.29	0.2441	0.3925	_	0.5269	0.3099	0.2424	0.3903
33	08:03:45	0	0.1000	56.90941426291395		_	_	_	_	45.2492561340332	0.6471	0.2658	0.2321	0.3768	_	0.6444	0.3063	0.262	0.4152
34	08:07:13	1	0.1000	55.85976489622202		_	_	_	_	39.529090881347656	0.5962	0.4721	0.3577	0.5269	_	0.4982	0.4789	0.323	0.4884
35	08:10:41	2	0.1000	53.33087294848997		_	_	_	_	37.06649398803711	0.6557	0.5167	0.4064	0.578	_	0.5127	0.4965	0.3373	0.5045
36	08:14:08	0	0.1000	55.793865602407884		_	_	_	_	45.77855682373047	0.6787	0.2788	0.2463	0.3952	_	0.6444	0.3063	0.262	0.4152
37	08:17:35	1	0.1000	52.20455522679571		_	_	_	_	38.4586067199707	0.6009	0.4814	0.3648	0.5346	_	0.531	0.4824	0.3383	0.5055
38	08:20:59	0	0.1000	56.74108021294893		_	_	_	_	36.51518630981445	0.6667	0.5204	0.413	0.5845	_	0.5222	0.4965	0.3414	0.509
39	08:24:26	1	0.1000	54.062062733208954		_	_	_	_	41.95896530151367	0.6731	0.4554	0.3729	0.5433	_	0.6354	0.4049	0.3286	0.4946
40	08:27:57	2	0.1000	50.849214923915575		_	_	_	_	45.66324996948242	0.6966	0.303	0.2677	0.4223	_	0.6791	0.3204	0.2783	0.4354
41	08:31:35	0	0.1000	52.49804277562384		_	_	_	_	38.23970413208008	0.5956	0.5037	0.3753	0.5458	_	0.5034	0.5176	0.3427	0.5104
42	08:35:33	1	0.1000	51.84612399428638		_	_	_	_	40.76109313964844	0.7063	0.3532	0.3079	0.4709	_	0.6533	0.3451	0.2917	0.4516
43	08:39:12	2	0.1000	49.01488164645522		_	_	_	_	40.01893615722656	0.6017	0.4015	0.3172	0.4816	_	0.5845	0.4261	0.327	0.4929
44	08:42:43	0	0.1000	51.06304931640625		_	_	_	_	41.62264633178711	0.5856	0.3941	0.3081	0.4711	_	0.5467	0.4331	0.3187	0.4833
45	08:46:12	1	0.1000	51.786026228719685		_	_	_	_	35.589210510253906	0.6707	0.5112	0.4086	0.5802	_	0.569	0.4789	0.3514	0.5201
46	08:49:38	2	0.1000	55.14074524836754		_	_	_	_	39.3226432800293	0.653	0.4442	0.3594	0.5287	_	0.6294	0.4366	0.3473	0.5156
